                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
165,1.0945,0.73142,0.97682,0.81922,0.80761,0.83856,0.45712,1.3305,0.74373,1.0384,0.00041705,0.00041705,0.00041705
166,1.1374,0.76018,0.99286,0.81702,0.80275,0.82362,0.46928,1.3436,0.71709,1.0501,0.00041405,0.00041405,0.00041405
167,1.1148,0.73489,0.97294,0.84583,0.78785,0.82486,0.4496,1.3776,0.72727,1.0649,0.00041105,0.00041105,0.00041105
168,1.1013,0.74125,0.98132,0.79677,0.82156,0.81336,0.44673,1.3692,0.7282,1.0533,0.00040805,0.00040805,0.00040805
169,1.0971,0.72425,0.97207,0.80038,0.78013,0.81236,0.44912,1.3568,0.75165,1.0573,0.00040505,0.00040505,0.00040505
170,1.1047,0.73064,0.97234,0.80882,0.80094,0.80633,0.44612,1.3658,0.73942,1.0581,0.00040205,0.00040205,0.00040205
171,1.1079,0.74225,0.97262,0.7928,0.79218,0.8085,0.44562,1.3732,0.73376,1.0705,0.00039905,0.00039905,0.00039905
172,1.1189,0.74096,0.9741,0.79754,0.80306,0.81453,0.45762,1.3738,0.72442,1.0553,0.00039605,0.00039605,0.00039605
173,1.1146,0.72306,0.9753,0.81272,0.79275,0.82395,0.45348,1.3633,0.72451,1.0692,0.00039305,0.00039305,0.00039305
174,1.1174,0.73821,0.97589,0.79928,0.80285,0.81228,0.43393,1.379,0.74761,1.0641,0.00039005,0.00039005,0.00039005
175,1.1109,0.73631,0.97617,0.77317,0.81971,0.82718,0.44688,1.3769,0.72532,1.0588,0.00038705,0.00038705,0.00038705
176,1.0974,0.73304,0.97468,0.78113,0.80369,0.80172,0.44007,1.3734,0.72495,1.0669,0.00038405,0.00038405,0.00038405
177,1.1213,0.73088,0.96883,0.81633,0.77003,0.79868,0.44015,1.3903,0.7279,1.0814,0.00038105,0.00038105,0.00038105
178,1.1066,0.71938,0.97535,0.81514,0.78542,0.80574,0.43775,1.3896,0.73141,1.0929,0.00037805,0.00037805,0.00037805
179,1.0739,0.70021,0.9593,0.82907,0.76995,0.79547,0.43681,1.3753,0.73058,1.0763,0.00037505,0.00037505,0.00037505
180,1.0901,0.70639,0.96939,0.80263,0.80344,0.80046,0.44051,1.3638,0.72624,1.0624,0.00037205,0.00037205,0.00037205
181,1.0983,0.71475,0.97207,0.79379,0.80844,0.79835,0.43623,1.3635,0.71353,1.064,0.00036905,0.00036905,0.00036905
182,1.0825,0.71058,0.96498,0.82128,0.80065,0.81739,0.44563,1.3624,0.69811,1.0633,0.00036605,0.00036605,0.00036605
183,1.0894,0.70682,0.96728,0.8095,0.81876,0.82398,0.45455,1.3455,0.71002,1.058,0.00036305,0.00036305,0.00036305
184,1.0754,0.69805,0.96104,0.80682,0.81628,0.82207,0.4581,1.3317,0.7068,1.0522,0.00036005,0.00036005,0.00036005
185,1.092,0.70858,0.96776,0.80457,0.8119,0.81573,0.45602,1.3282,0.69708,1.0476,0.00035706,0.00035706,0.00035706
186,1.0805,0.71743,0.97505,0.80247,0.80784,0.80409,0.43767,1.3376,0.72129,1.0441,0.00035406,0.00035406,0.00035406
187,1.0895,0.71615,0.97226,0.82318,0.81091,0.81415,0.45507,1.3276,0.70576,1.0454,0.00035106,0.00035106,0.00035106
188,1.072,0.70547,0.97157,0.81849,0.795,0.80359,0.44737,1.3403,0.71435,1.0589,0.00034806,0.00034806,0.00034806
189,1.0848,0.70882,0.96904,0.84078,0.77752,0.81898,0.45023,1.3478,0.70518,1.0539,0.00034506,0.00034506,0.00034506
190,1.0839,0.69654,0.95453,0.82238,0.78717,0.81229,0.45014,1.3364,0.69735,1.0495,0.00034206,0.00034206,0.00034206
191,1.0924,0.71285,0.97032,0.81554,0.78282,0.80231,0.44935,1.3463,0.71015,1.0542,0.00033906,0.00033906,0.00033906
192,1.0802,0.7144,0.96933,0.84884,0.78546,0.81029,0.44943,1.3297,0.7025,1.0528,0.00033606,0.00033606,0.00033606
